# z       Lx0124      eLx         LAMBDACHISQ   LAMBDACHISQE  
  0.42    2.4004E44   9.9929E43   8.974138      3.5530937     
  0.45    3.4146E44   1.2763E44   6.5333424     3.8645234     
  0.406   3.466E44    1.8456E44   8.196135      2.9471607     
  0.118   2.4688E43   8.6768E42   5.7248287     1.697265      
  0.291   5.0876E44   1.1915E44   27.798777     3.1477087     
  0.213   5.4807E43   2.0856E43   10.743715     2.0879087     
  0.548   3.1721E44   1.937E44    26.21226      14.379034     
  0.396   2.4125E44   1.043E44    13.428591     3.29915       
  0.593   5.2912E44   2.54E44     6.9757366     12.518728     
  0.19    7.0319E43   2.2179E43   6.060438      1.5963501     
  0.547   3.7314E44   2.446E44    6.807932      10.691878     
  0.587   5.0011E44   1.7462E44   6.167223      42.0994       
  0.188   4.813E43    1.4903E43   13.199766     1.9617509     
  0.342   1.0635E44   4.4048E43   14.710009     2.2400436     
  0.14    6.058E43    1.1834E43   17.562689     1.8190843     
  0.458   1.9608E44   1.1712E44   8.913118      4.3719363     
  0.198   1.0072E44   4.0621E43   7.0520115     1.4683853     
  0.419   2.3175E44   7.3301E43   6.609617      3.104529      
  0.419   1.5206E44   6.4945E43   7.6774654     5.25064       
  0.364   1.5463E44   5.5608E43   10.896265     2.41257       
  0.472   1.4833E44   1.2984E44   13.443846     9.83495       
  0.326   1.904E44    8.6962E43   9.935202      2.0002828     
  0.24    7.1607E43   3.0311E43   18.844107     3.2005987     
  0.232   8.8554E43   2.7783E43   7.0215015     1.5307858     
  0.539   3.8327E44   1.2627E44   47.75228      25.373692     
  0.486   2.4713E44   9.9766E43   5.2366695     4.997964      
  0.531   5.5472E44   1.8517E44   17.745749     16.842825     
  0.269   6.932E43    2.6724E43   18.569517     2.3003812     
  0.151   3.1475E43   9.8824E42   29.812433     2.920737      
  0.148   3.245E43    9.3329E42   38.111137     2.311253      
  0.129   2.3871E43   7.0994E42   26.105474     2.6123998     
  0.305   4.6631E43   2.6467E43   22.68836      8.526223      
  0.621   5.5913E44   1.71E44     5.8468685     19.259384     
  0.52    5.6661E44   1.4871E44   6.228243      28.347013     
  0.605   2.9969E44   1.7824E44   6.9452267     17.876345     
  0.148   2.6895E45   1.1757E44   5.2519245     1.347363      
  0.117   1.6047E44   1.4658E43   53.59494      2.5041885     
  0.525   1.7642E44   8.578E43    34.312653     76.98279      
  0.116   1.9854E43   6.9494E42   21.879847     1.8213601     
  0.061   2.1446E43   3.9448E42   5.434984      1.0878007     
  0.353   1.9893E44   7.8445E43   8.302919      2.1824005     
  0.396   2.0026E44   6.5233E43   5.099375      2.2803068     
  0.143   9.8585E43   4.7079E43   29.858198     2.1821237     
  0.544   2.6905E44   1.1178E44   7.265581      8.663525      
  0.611   4.2508E44   2.0166E44   74.677315     41.733356     
  0.114   3.3641E43   1.4065E43   9.355513      2.86511       
  0.406   3.094E44    1.2007E44   5.419729      2.3619168     
  0.416   2.678E44    1.0105E44   6.3350277     2.91414       
